Round No,Institute,Academic Program Name,,Category,Opening Rank,Closing Rank
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",,General,5802,7857
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1709,2560
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),24,24
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,1030,1197
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,448,472
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,5624,8237
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,2566,2659
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL(PwD),40.01,40.01
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1148,1148
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,521,521
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,7727,8567
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,2680.01,2875
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1375,1403
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,7826,8874
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,2637,2768
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1396,1490
7,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,550,550
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,1764,2695
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,578,1040
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,388,559
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,186,248
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,2626,3355
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,1083,1256
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,648,692
7,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,439,439
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,4780,5821
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,2015,2035
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1216,1324
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,464,464
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,3627,5029
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",,General PwD,187,187
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1222,1725
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,905,1033
7,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,394,426
7,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,General,2697,4089
7,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,775,1515
7,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,SC,535,914
7,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,ST,303,382
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,4524,5522
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General PwD,166,166
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1391,1862
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,802,977
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,331,499
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,5706,6094
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,2270,2338
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1069,1069
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,612,612
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,6125,6653
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General PwD,177,177
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,1928,2438
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1189,1192
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,642,642
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,6053,6921
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,2184,2440
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1302,1302
7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,641,641
7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,General,6440,9149
7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,General PwD,225,225
7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2726,3095
7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,SC,1488,1740
7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,ST,561.01,837
7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,8983,9201
7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,3126,3424
7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1792,1943
7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,General,749,2036
7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,General PwD,38,38
7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,383,1037
7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,SC,157,425
7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,ST,173,231
7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,General,830,1507
7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,General PwD,47,53
7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,500,910
7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),14,14
7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,SC,267,631
7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,ST,238,327
7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,General,3051,5116
7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,OBC-NCL,1796,2314
7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,OBC-NCL(PwD),110,110
7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,SC,1021,1493
7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,ST,661,758
7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,General,1046,2308
7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,General PwD,31,62
7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,602,976
7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),37,37
7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,203,511
7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,52,117
7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,1,62
7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,1,2
7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,9,45
7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),1,1
7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,1,22
7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,4,15
7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,General,1426,2555
7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,General PwD,51,51
7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,OBC-NCL,763,1611
7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,SC,137,733
7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,ST,124,536
7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,74,266
7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,General PwD,6,6
7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,60,158
7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),8,8
7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,14,80
7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,3,27
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,345,510
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,189,414
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,103,168
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC PwD,7,7
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,126,187
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,270,471
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,239,314
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,86,181
7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,153,184
7,Indian Institute of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,1294,2514
7,Indian Institute of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,915,1302
7,Indian Institute of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,574,1000
7,Indian Institute of Technology Bombay,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,362,377
7,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",,General,64,1223
7,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",,OBC-NCL,194,786
7,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",,SC,166,579
7,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",,SC PwD,5,5
7,Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",,ST,201,272
7,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,297,738
7,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General PwD,18,18
7,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,110,363
7,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),10.01,10.01
7,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,81,163
7,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,33,104
7,Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST PwD,3,3
7,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,260,879
7,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,General PwD,57,57
7,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,425,504
7,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,91,213
7,Indian Institute of Technology Bombay,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,120.01,131
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",,General,1600,3039
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",,General PwD,71,120
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",,OBC-NCL,1106,1493
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),49,49
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",,SC,676,960
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",,ST,433,634
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,3079,3406
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,1591,1598
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL(PwD),73,73
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,964,1093
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,703,703
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,3056,3288
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,1508,1639
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1056,1149
7,Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,646,646
7,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",,General,6033,7973
7,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2376,2625
7,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,1134,1323
7,Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,239,383
7,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,1696,2587
7,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,83,83
7,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,933,1179
7,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,513,662
7,Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,122,370
7,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,3774,5261
7,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1428,2111
7,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,986,1181
7,Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,381,460
7,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,3779,6607
7,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General PwD,188,188
7,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1910,2364
7,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,1034,1281
7,Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,534,637
7,Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,3058,4245
7,Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,General PwD,129,129
7,Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,2003,2385
7,Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1373,1559
7,Indian Institute of Technology Delhi,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,773,773
7,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",,General,2858,3860
7,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1563,2131
7,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",,SC,1054,1349
7,Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",,ST,639,675
7,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",,General,949,1780
7,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",,General PwD,63,63
7,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,634,986
7,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),64,64
7,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",,SC,207,671
7,Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",,ST,157,300
7,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,1984,2876
7,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General PwD,81,81
7,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,1021,1489
7,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,583,866
7,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,404,421
7,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",,General,1341,2869
7,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",,General PwD,52,59
7,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,486,980
7,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),35,35
7,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,226,532
7,Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,10,53
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,3,104
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,3,3
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,21,67
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),4,4
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,17,35
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,5,25
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,78,154
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General PwD,13,13
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,72,117
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,47,53
7,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,70,75
7,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,226,416
7,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",,General PwD,22,22
7,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,108,203
7,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,36,106
7,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC PwD,5,5
7,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,1,43
7,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",,General,467,928
7,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",,OBC-NCL,293,484
7,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),26,26
7,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",,SC,214,270
7,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",,ST,69,113
7,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",,General,1244,2433
7,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",,General PwD,126,126
7,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",,OBC-NCL,704,1466
